"YEAR","FORTYPCD","POOL","CARB_ACRE","CARB_ACRE_SE","nPlots_AREA"
2023,141,"AG_LIVE",14.3133097152232,4.43474416239643,257
2023,142,"AG_LIVE",17.8823662502669,2.55501588609351,951
2023,161,"AG_LIVE",16.5646302903053,5.10809354315827,261
2023,162,"AG_LIVE",30.99178485972,23.8754198804033,5
2023,164,"AG_LIVE",13.5451837378737,6.77239846366514,118
2023,166,"AG_LIVE",15.2154057076507,9.91880107145372,32
2023,168,"AG_LIVE",35.0542333481812,19.8715031573758,3
2023,171,"AG_LIVE",12.8760793829266,21.4402435799857,6
2023,402,"AG_LIVE",18.4752823061148,49.8549117579958,5
2023,403,"AG_LIVE",14.7130593089761,9.59454050844752,68
2023,404,"AG_LIVE",64.8417471438979,0,1
2023,406,"AG_LIVE",26.9121196450445,8.01368800284311,82
2023,407,"AG_LIVE",21.8754728367008,5.59846698817956,194
2023,409,"AG_LIVE",13.5997606473406,14.6010612678623,45
2023,501,"AG_LIVE",10.0026081852059,16.8270168970758,2
2023,503,"AG_LIVE",39.8790864538517,13.0302605257421,12
2023,506,"AG_LIVE",21.4901413662917,0,1
2023,507,"AG_LIVE",3.93503167237851,20.9193516177924,12
2023,508,"AG_LIVE",20.3008492445621,16.2129240521882,36
2023,511,"AG_LIVE",47.186623703393,15.0702760442869,2
2023,513,"AG_LIVE",45.1180374253719,1.9857328937745e-06,1
2023,514,"AG_LIVE",12.7337479699441,9.78167911234764,161
2023,516,"AG_LIVE",3.22006679420543,37.6092661497133,2
2023,517,"AG_LIVE",10.7793309533447,72.1532866736367,3
2023,519,"AG_LIVE",8.27725636050385,32.0391445807583,14
2023,520,"AG_LIVE",28.1939389403461,4.67689130883639,367
2023,602,"AG_LIVE",34.4696817847951,4.58348831780163,155
2023,605,"AG_LIVE",33.1633904811739,26.1605227496614,5
2023,606,"AG_LIVE",29.1543832798888,18.8896285256779,4
2023,607,"AG_LIVE",37.178050900212,4.97456949882599,97
2023,608,"AG_LIVE",24.4050946805597,4.592228202419,358
2023,609,"AG_LIVE",22.6040915953993,5.61147247267894,218
2023,702,"AG_LIVE",14.1777852549475,58.3392989835402,4
2023,704,"AG_LIVE",4.77658535333118,18.285204726505,18
2023,705,"AG_LIVE",42.2565775969513,25.6473667684302,3
2023,706,"AG_LIVE",17.5003291001463,17.0025846653214,2
2023,708,"AG_LIVE",11.9155491326435,19.3327505923915,14
2023,709,"AG_LIVE",9.34924071268464,0,1
2023,962,"AG_LIVE",15.4507483681285,14.8757823831775,46
2023,982,"AG_LIVE",6.08559319246189,12.7904419555354,53
2023,983,"AG_LIVE",20.7620117007636,6.86812788906128,120
2023,989,"AG_LIVE",15.5912613865951,32.410072183754,9
2023,992,"AG_LIVE",10.3192675373421,40.7614533158508,6
2023,993,"AG_LIVE",8.94888478418748,19.0942657397239,4
2023,995,"AG_LIVE",7.02735425306083,13.9633544957612,8
2023,999,"AG_LIVE",2.26210479455713,5.01760850802276,133
