"YEAR","FORTYPCD","PERC_AREA","AREA_TOTAL","PERC_AREA_SE","AREA_TOTAL_SE","nPlots_AREA_NUM","nPlots_AREA_DEN"
2023,141,6.07215820648561,1017580.52488062,6.61864299117204,6.71557925901613,257,3227
2023,142,24.9291910455057,4177667.71653614,2.96872231213927,3.10813918278431,951,3227
2023,161,7.06159762073559,1183392.12666245,6.35983551698604,6.39362124553871,261,3227
2023,162,0.135164858981747,22651.1107699985,49.0451304791681,49.0439140012041,5,3227
2023,164,2.69388513926365,451444.932882696,9.83381587720204,9.85061766471826,118,3227
2023,166,0.633296245354355,106128.645506025,19.409367019615,19.4095611907761,32,3227
2023,168,0.0777429363445624,13028.266932631,64.8703776738971,64.8676754305296,3,3227
2023,171,0.123183043143914,20643.1817874726,45.7774250392282,45.7928674953034,6,3227
2023,402,0.128091634755521,21465.7702409863,50.4652656280863,50.4657200569081,5,3227
2023,403,1.80747355302224,302898.874543112,12.995842490033,13.0558152704242,68,3227
2023,404,0.0311834519209593,5225.76525417719,101.788254326608,101.783096037198,1,3227
2023,406,2.20704531588052,369859.653618749,11.7459519813978,11.7548361185603,82,3227
2023,407,4.71580781035016,790281.482087668,7.6969481205907,7.72854038395223,194,3227
2023,409,1.05701068220352,177135.286701234,16.234871367457,16.2479494122725,45,3227
2023,501,0.0434989610011794,7289.61500378303,84.8836976734897,84.9002754048771,2,3227
2023,503,0.347813477008445,58287.0551885126,30.4301634978734,30.4233871016101,12,3227
2023,506,0.00890316620580055,1492.00469301366,100.177252943635,100.164529302152,1,3227
2023,507,0.330109409036984,55320.1834163511,30.8181217207077,30.8364902886425,12,3227
2023,508,0.752029977946897,126026.205784264,18.5468442690994,18.5443981613798,36,3227
2023,511,0.0175412702440853,2939.58990775043,71.3835605183204,71.3924183053013,2,3227
2023,513,0.0022996318312849,385.375427704053,95.0753893533199,95.0712159473686,1,3227
2023,514,4.01242930549246,672408.356285647,8.36671425486703,8.48463611017926,161,3227
2023,516,0.0749861018331022,12566.2728584015,69.6843711935814,69.6858475908233,2,3227
2023,517,0.0642985554973418,10775.2393180676,64.1747171432208,64.184672470526,3,3227
2023,519,0.316920234152631,53109.9235638941,28.3904979980883,28.3989499098141,14,3227
2023,520,9.27341736792924,1554051.88596956,5.41646462786763,5.45887922963097,367,3227
2023,602,4.06562903710941,681323.639613487,8.37645017691113,8.38210158234579,155,3227
2023,605,0.129571560574271,21713.7782210516,49.2350559646126,49.2314955292343,5,3227
2023,606,0.0708046624665147,11865.5415663768,63.3478934820344,63.34624818629,4,3227
2023,607,2.67223074338851,447816.059791567,10.7604045351343,10.7755928432445,97,3227
2023,608,8.73937733930289,1464556.73216141,5.49739045539641,5.50185580987654,358,3227
2023,609,6.99800267413497,1172734.79907957,5.95922642262598,6.09547048667857,218,3227
2023,702,0.0702872130943887,11778.8266973333,59.7063617846924,59.7144668984481,4,3227
2023,704,0.421988124815406,70717.3434783706,27.1026736817395,27.1514032985176,18,3227
2023,705,0.0691048323062776,11580.6817178942,64.7828903251533,64.7749930400034,3,3227
2023,706,0.034673268720942,5810.59349650964,80.1346990899902,80.1327526635441,2,3227
2023,708,0.315911713485197,52940.9142997705,29.8661020969281,29.8818021684541,14,3227
2023,709,0.0086381040382847,1447.58521473678,101.784818232932,101.783096037198,1,3227
2023,962,1.21841575631011,204183.76838479,15.7609161241872,15.773092576646,46,3227
2023,982,1.66745569597728,279434.491761996,13.742359646647,13.8181941471899,53,3227
2023,983,3.26258811976354,546748.951276048,9.4360823862313,9.53557973166309,120,3227
2023,989,0.2202609012954,36911.6211944968,36.5227843384757,36.5371361858888,9,3227
2023,992,0.135891822794592,22772.9363537677,48.3812169900263,48.4089485860689,6,3227
2023,993,0.0898787590527365,15062.0045957986,60.6365172956574,60.6693642674773,4,3227
2023,995,0.178257599183355,29872.6507400968,38.5847496838178,38.5969758992491,8,3227
2023,999,2.71395307005845,454807.943999505,9.98409734545291,10.0339021853169,133,3227
